Date,Price,Open,High,Low,Vol.,Change %
2016.11.07,125.84,125.99,126.18,125.65,102.84K,-0.43
2016.11.08,125.45,125.94,125.94,125.14,146.46K,-0.31
2016.11.09,125.43,125.75,126.19,124.62,236.37K,-0.02
2016.11.10,124.39,124.99,125.1,123.94,247.55K,-0.83
2016.11.11,124.22,123.72,124.47,123.6,114.15K,-0.14
2016.11.14,123.48,123.54,123.9,122.87,197.86K,-0.6
2016.11.15,124.13,123.71,124.41,123.64,182.66K,0.53
2016.11.16,123.86,123.8,124.21,123.47,149.84K,-0.22
2016.11.17,123.96,124.35,124.42,123.57,151.09K,0.08
2016.11.18,123.28,123.18,123.87,122.92,147.54K,-0.55
2016.11.21,123.73,123.34,123.87,123.31,118.18K,0.37
2016.11.22,124.1,123.88,124.43,123.87,201.14K,0.3
2016.11.23,123.38,124.2,124.51,123.18,470.22K,-0.58
2016.11.24,123.75,123.73,123.86,123.44,261.06K,0.3
2016.11.25,123.97,123.81,124.25,123.72,275.19K,0.18
2016.11.28,124.42,124.11,124.54,124.08,248.73K,0.36
2016.11.29,124.34,124.21,124.61,124.07,32.29K,-0.06
2016.11.30,124.09,124.58,124.75,123.88,11.95K,-0.2
2016.12.01,123.47,123.99,123.99,123.17,2.93K,-0.5
2016.12.02,124.34,123.65,124.54,123.6,8.53K,0.7
2016.12.05,124.19,124.15,124.18,123.54,2.10K,-0.12
2016.12.06,123.99,124.23,124.23,123.86,1.97K,-0.16
2016.12.07,124.46,124.06,124.51,124.06,1.38K,0.38
2016.12.08,124.34,124.45,124.45,124.23,0.28K,-0.1
2016.12.09,123.85,124.1,124.22,123.6,0.68K,-0.39
2016.12.12,123.45,123.3,123.41,123.14,1.93K,-0.32
2016.12.13,123.98,123.95,124.09,123.84,0.88K,0.43
2016.12.14,124.39,124.23,124.26,124.12,0.13K,0.33
2016.12.15,123.25,123.43,123.43,123.43,0.20K,-0.92
2016.12.16,123.69,123.97,123.99,123.74,0.08K,0.36
2016.12.19,124.25,123.85,124.38,123.79,0.03K,0.45
2016.12.20,124.17,123.85,123.85,123.85,0.02K,-0.06
2016.12.21,124.64,124.52,124.52,124.52,0.09K,0.38
2016.12.22,124.83,124.49,124.74,124.49,0.22K,0.15
2016.12.23,124.95,125.05,125.06,125.04,0.03K,0.1
2016.12.28,125.08,125.08,125.09,125.08,0.16K,0.1
2016.12.29,125.87,125.27,125.99,125.25,75.54K,0.63
2016.12.30,125.83,125.67,126,125.51,54.36K,-0.03
2017.01.03,124.71,125.8,125.83,124.3,164.11K,-0.89
2017.01.04,124.81,124.89,125.01,124.62,121.99K,0.08
2017.01.05,124.95,124.82,125.35,124.22,186.05K,0.11
2017.01.06,124.33,124.94,125.16,124.18,126.87K,-0.5
2017.01.09,124.59,124.19,124.94,124.17,111.86K,0.21
2017.01.10,124.52,124.64,124.89,124.36,138.33K,-0.06
2017.01.11,124.53,124.49,124.82,124.31,129.00K,0.01
2017.01.12,125.22,124.96,125.3,124.9,146.17K,0.55
2017.01.13,124.47,124.91,125.21,124.26,154.50K,-0.6
2017.01.16,124.91,124.82,125.1,124.68,80.34K,0.35
2017.01.17,125.17,125.27,125.73,124.89,172.92K,0.21
2017.01.18,124.92,125.1,125.1,124.75,139.85K,-0.2
2017.01.19,124.15,124.44,124.58,123.89,160.98K,-0.62
2017.01.20,123.83,124.25,124.42,123.62,138.21K,-0.26
2017.01.23,124.28,124.27,124.73,123.93,139.21K,0.36
2017.01.24,124.24,124.27,124.53,124.07,174.70K,-0.03
2017.01.25,123.36,123.95,124,123.15,187.62K,-0.71
2017.01.26,122.83,123.1,123.18,122.6,153.19K,-0.43
2017.01.27,123.33,122.89,123.42,122.81,133.90K,0.41
2017.01.30,123.65,123.34,123.79,122.99,137.41K,0.26
2017.01.31,123.87,123.69,123.93,123.2,229.20K,0.18
2017.02.01,123.38,123.5,123.67,123.25,172.29K,-0.4
2017.02.02,124.21,123.34,124.47,123.17,198.72K,0.67
2017.02.03,124.53,123.86,124.64,123.81,133.70K,0.26
2017.02.06,125,124.42,125.18,124.35,134.56K,0.38
2017.02.07,125.32,125.15,125.44,124.9,158.51K,0.26
2017.02.08,126.08,125.33,126.28,125.32,194.44K,0.61
2017.02.09,125.98,125.97,126.23,125.76,192.27K,-0.08
2017.02.10,125.6,125.5,125.9,125.48,139.39K,-0.3
2017.02.13,125.37,125.73,125.74,125.26,104.14K,-0.18
2017.02.14,125.15,125.4,125.56,124.93,174.04K,-0.18
2017.02.15,125.27,125.18,125.48,125.12,159.56K,0.1
2017.02.16,125.87,125.32,125.89,125.31,154.71K,0.48
2017.02.17,126.41,125.67,126.61,125.63,153.84K,0.43
2017.02.20,126.3,126.3,126.43,126.1,96.93K,-0.09
2017.02.21,126.08,126.25,126.27,125.84,262.06K,-0.17
2017.02.22,126.57,126.03,126.94,125.97,426.27K,0.39
2017.02.23,127.22,126.68,127.25,126.55,362.74K,0.51
2017.02.24,128.12,127.37,128.32,127.37,245.11K,0.71
2017.02.27,128.2,128.04,128.39,128.04,45.38K,0.06
2017.02.28,128.34,128.33,128.48,127.85,17.02K,0.11
2017.03.01,127.7,127.9,128.06,127.64,10.23K,-0.5
2017.03.02,127.63,127.6,128.1,127.52,4.97K,-0.05
2017.03.03,127.82,127.75,127.96,127.64,3.12K,0.15
2017.03.06,127.64,128.27,128.43,127.6,11.95K,-0.14
2017.03.07,127.93,127.7,127.91,127.56,1.86K,0.23
2017.03.08,127.38,127.68,127.79,127.17,3.99K,-0.43
2017.03.09,127.57,127.42,127.82,127.32,6.02K,0.15
2017.03.10,127.25,127.3,127.57,127.15,0.51K,-0.25
2017.03.13,127.15,127.69,127.76,127.14,2.13K,-0.08
2017.03.14,127.37,127.02,127.33,127,0.39K,0.17
2017.03.15,127.55,127.32,127.47,127.32,16.92K,0.14
2017.03.16,127.22,127.7,127.7,126.86,0.17K,-0.26
2017.03.17,127.37,127.26,127.27,127.22,0.85K,0.12
2017.03.20,127.39,127.25,127.4,126.97,2.15K,0.02
2017.03.21,127.15,127.04,127.24,126.62,3.67K,-0.19
2017.03.22,128.05,127.6,128.01,127.56,4.89K,0.71
2017.03.23,127.51,127.78,127.98,127.42,0.19K,-0.42
2017.03.24,127.76,127.28,127.78,127.28,1.79K,0.2
2017.03.27,128.08,128.09,128.09,128.05,1.43K,0.25
2017.03.28,127.95,128.05,128.11,127.92,0.45K,-0.1
2017.03.29,127.7,127.93,127.93,127.69,7.97K,-0.2
2017.03.30,127.64,127.32,127.69,127.32,143.65K,-0.05
2017.03.31,127.58,127.48,127.77,127.33,169.72K,-0.05
2017.04.03,128.27,127.53,128.34,127.34,155.41K,0.54
2017.04.04,128.37,128.34,128.67,128.22,175.11K,0.08
2017.04.05,128.02,128.49,128.5,127.74,138.94K,-0.27
2017.04.06,127.98,128.24,128.33,127.86,113.15K,-0.03
2017.04.07,128.25,128.16,128.63,127.91,121.86K,0.21
2017.04.10,128.05,127.95,128.26,127.82,85.19K,-0.16
2017.04.11,128.49,128.39,128.53,127.94,137.48K,0.34
2017.04.12,128.51,128.54,128.59,128.24,141.56K,0.02
2017.04.13,128.65,128.7,128.95,128.56,107.82K,0.11
2017.04.18,128.74,128.75,129.14,128.42,132.87K,0.07
2017.04.19,128.39,128.87,128.91,128.26,111.06K,-0.27
2017.04.20,128.38,128.56,128.68,128.06,132.89K,-0.01
2017.04.21,128.74,128.48,128.81,128.35,99.44K,0.28
2017.04.24,128.38,127.96,128.58,127.76,137.97K,-0.28
2017.04.25,128.21,128.42,128.49,127.94,123.99K,-0.13
2017.04.26,128.18,128.12,128.29,127.95,139.47K,-0.02
2017.04.27,128.46,128.15,128.49,127.98,130.47K,0.22
2017.04.28,128.27,128.34,128.37,127.9,169.37K,-0.15
2017.05.02,128.14,128.18,128.27,127.87,129.36K,-0.1
2017.05.03,128.31,128.19,128.38,128.1,104.61K,0.13
2017.05.04,127.93,128.02,128.28,127.83,165.03K,-0.3
2017.05.05,127.84,128,128.2,127.78,134.04K,-0.07
2017.05.08,127.58,127.9,128.07,127.42,129.28K,-0.2
2017.05.09,126.96,127.3,127.35,126.68,171.03K,-0.49
2017.05.10,127.31,127.01,127.39,126.93,118.19K,0.28
2017.05.11,127.34,127.11,127.45,127.02,144.81K,0.02
2017.05.12,128.18,127.41,128.33,127.37,154.35K,0.66
2017.05.15,127.81,128.05,128.13,127.57,112.66K,-0.29
2017.05.16,127.96,127.56,127.99,127.36,212.05K,0.12
2017.05.17,128.46,128.1,128.66,127.94,146.58K,0.39
2017.05.18,128.55,128.43,128.98,128.42,159.11K,0.07
2017.05.19,128.29,128.47,128.52,128.09,111.25K,-0.2
2017.05.22,128.38,128.29,128.55,128.12,103.45K,0.07
2017.05.23,128.53,128.55,128.68,128.31,205.63K,0.12
2017.05.24,128.5,128.34,128.68,128.28,267.59K,-0.02
2017.05.25,128.81,128.85,128.93,128.63,284.30K,0.24
2017.05.26,129.19,128.94,129.33,128.77,272.62K,0.3
2017.05.30,129.35,129.62,129.68,129.1,46.56K,0.12
2017.05.31,128.99,129.38,129.52,128.78,16.79K,-0.28
2017.06.01,128.64,128.82,128.91,128.4,10.67K,-0.27
2017.06.02,128.82,128.68,128.99,128.62,7.32K,0.14
2017.06.05,128.76,128.71,128.93,128.55,2.85K,-0.05
2017.06.06,129.51,129,129.53,129,8.56K,0.58
2017.06.07,129.54,129.53,129.56,129.3,3.52K,0.02
2017.06.08,128.97,129.31,129.31,128.84,2.02K,-0.44
2017.06.09,129.22,128.88,129.39,128.62,3.69K,0.19
2017.06.12,129.62,129.24,129.68,129.24,0.74K,0.31
2017.06.13,129.01,129.62,129.62,129,0.43K,-0.47
2017.06.14,130.1,129.19,130.12,129.19,1.34K,0.84
2017.06.15,129.05,129.91,129.91,128.95,0.22K,-0.81
2017.06.16,129.18,128.7,129.2,128.7,0.18K,0.1
2017.06.19,129.09,129.16,129.16,129.07,0.39K,-0.07
2017.06.20,129.36,129.35,129.4,129.32,0.03K,0.21
2017.06.21,129.15,129.67,129.67,128.94,0.12K,-0.16
2017.06.22,129.23,129.35,129.35,129.28,0.29K,0.06
2017.06.23,129.06,128.8,129.02,128.8,0.08K,-0.13
2017.06.26,129.18,129.14,129.41,129.14,0.17K,0.09
2017.06.27,128.52,129.31,129.33,128.98,0.26K,-0.51
2017.06.28,127.77,127.99,127.99,127.76,0.05K,-0.58
2017.06.29,125.71,126.21,126.26,125.48,247.50K,-1.61
2017.06.30,125.57,125.41,125.99,125.15,234.21K,-0.11
2017.07.03,125.41,125.01,125.73,124.96,178.86K,-0.13
2017.07.04,125.64,125.62,125.76,125.43,99.37K,0.18
2017.07.05,125.57,125.7,125.7,125.16,166.57K,-0.06
2017.07.06,124.91,125.41,125.43,124.76,214.10K,-0.53
2017.07.07,125.11,124.97,125.32,124.71,163.87K,0.16
2017.07.10,125.46,125.14,125.56,124.95,120.29K,0.28
2017.07.11,125.39,125.22,125.49,125.03,155.04K,-0.06
2017.07.12,125.58,125.67,125.76,125.27,133.20K,0.15
2017.07.13,125.27,125.38,125.88,125.05,145.39K,-0.25
2017.07.14,125.04,125.42,125.53,124.95,132.05K,-0.18
2017.07.17,125.46,125.03,125.62,125.03,95.96K,0.34
2017.07.18,126.14,125.44,126.27,125.25,152.85K,0.54
2017.07.19,126.45,126.02,126.48,125.86,120.34K,0.25
2017.07.20,126.21,126.34,126.47,126.06,120.80K,-0.19
2017.07.21,126.63,126.4,126.65,126.24,86.06K,0.33
2017.07.24,126.53,126.51,126.67,126.37,87.30K,-0.08
2017.07.25,125.77,126.4,126.54,125.63,168.11K,-0.6
2017.07.26,126,125.8,126.05,125.73,98.69K,0.18
2017.07.27,126.35,126.32,126.47,126.07,129.41K,0.28
2017.07.28,126.15,126.38,126.49,125.92,120.09K,-0.16
2017.07.31,126.02,126.2,126.34,125.9,138.53K,-0.1
2017.08.01,126.28,125.92,126.39,125.66,172.39K,0.21
2017.08.02,125.95,126.06,126.21,125.67,157.07K,-0.26
2017.08.03,126.85,125.83,126.99,125.81,164.70K,0.71
2017.08.04,126.73,127,127.03,126.54,110.27K,-0.09
2017.08.07,127.04,126.67,127.11,126.56,79.73K,0.24
2017.08.08,126.89,127.07,127.09,126.81,101.07K,-0.12
2017.08.09,127.46,127.16,127.56,127.06,122.14K,0.45
2017.08.10,127.72,127.25,127.77,127.21,100.39K,0.2
2017.08.11,127.91,127.83,128.24,127.72,140.40K,0.15
2017.08.14,127.75,127.73,127.87,127.48,90.44K,-0.13
2017.08.15,127.66,127.5,127.73,127.33,143.23K,-0.07
2017.08.16,127.46,127.63,127.76,127.22,243.85K,-0.16
2017.08.17,127.58,127.78,127.79,127.29,136.88K,0.09
2017.08.18,127.8,127.86,127.95,127.52,117.96K,0.17
2017.08.21,127.93,127.64,128.05,127.6,122.43K,0.1
2017.08.22,127.72,127.67,127.9,127.49,137.73K,-0.16
2017.08.23,128.08,127.71,128.1,127.5,197.18K,0.28
2017.08.24,128.02,127.94,128.14,127.8,155.08K,-0.05
2017.08.25,128.08,127.99,128.12,127.82,224.05K,0.05
2017.08.29,128.71,128.43,128.82,128.4,234.78K,0.49
2017.08.30,128.31,128.4,128.55,128.18,53.95K,-0.31
2017.08.31,128.31,128.14,128.4,128.13,18.12K,0
2017.09.01,127.98,128.21,128.43,127.86,6.57K,-0.26
2017.09.04,128.07,128.2,128.25,128.02,2.18K,0.07
2017.09.05,128.51,127.91,128.71,127.91,3.85K,0.34
2017.09.06,128.6,128.62,128.66,128.43,7.10K,0.07
2017.09.07,129.13,128.41,129.11,128.3,6.39K,0.41
2017.09.08,128.72,129.17,129.22,128.66,14.96K,-0.32
2017.09.11,128.25,128.54,128.57,128.2,4.74K,-0.37
2017.09.12,127.12,128.02,128.02,127.13,1.56K,-0.88
2017.09.13,127.1,127.06,127.46,127.03,1.91K,-0.02
2017.09.14,126.29,127.03,127.03,126,4.00K,-0.64
2017.09.15,125.17,126.11,126.18,125.01,7.97K,-0.89
2017.09.18,125.46,125.31,125.45,125.24,3.01K,0.23
2017.09.19,125.18,125.43,125.64,125.3,2.31K,-0.22
2017.09.20,125.11,125.04,125.2,124.96,8.57K,-0.06
2017.09.21,124.68,124.5,124.76,124.5,4.67K,-0.34
2017.09.22,124.78,124.67,124.73,124.67,0.27K,0.08
2017.09.25,125.09,125,125,124.92,7.07K,0.25
2017.09.26,125.12,124.98,125.24,124.98,1.70K,0.02
2017.09.27,124.68,124.74,124.74,124.66,3.65K,-0.35
2017.09.28,123.63,123.2,123.85,123.12,150.56K,-0.84
2017.09.29,123.88,123.73,124.06,123.61,201.96K,0.2
2017.10.02,124.2,123.58,124.34,123.48,152.87K,0.26
2017.10.03,123.91,124.11,124.13,123.67,140.91K,-0.23
2017.10.04,123.82,124.22,124.22,123.62,138.53K,-0.07
2017.10.05,123.67,123.75,124.16,123.58,157.71K,-0.12
2017.10.06,123.89,123.7,123.97,123.32,171.47K,0.18
2017.10.09,124,123.79,124.05,123.69,88.28K,0.09
2017.10.10,123.91,123.9,123.98,123.52,182.38K,-0.07
2017.10.11,123.79,123.74,123.86,123.6,125.83K,-0.1
2017.10.12,123.78,123.89,123.99,123.61,147.34K,-0.01
2017.10.13,123.9,123.8,124.1,123.46,185.93K,0.1
2017.10.16,124.2,123.7,124.3,123.49,158.44K,0.24
2017.10.17,124.8,124.07,124.96,124.02,216.68K,0.48
2017.10.18,124.5,124.93,124.99,124.4,143.23K,-0.24
2017.10.19,124.95,124.5,125,124.42,169.11K,0.36
2017.10.20,124.38,124.66,124.75,124.22,158.56K,-0.46
2017.10.23,124.61,124.46,124.69,124.23,126.37K,0.18
2017.10.24,124.14,124.39,124.52,123.96,155.95K,-0.38
2017.10.25,123.51,124.2,124.27,123.17,187.21K,-0.51
2017.10.26,123.6,123.57,123.84,123.44,147.68K,0.07
2017.10.27,124.09,123.67,124.22,123.53,168.31K,0.4
2017.10.30,124.39,124.1,124.42,124.03,106.58K,0.24
2017.10.31,124.33,124.44,124.54,124.23,155.33K,-0.05
2017.11.01,124.18,124.25,124.37,123.84,160.36K,-0.12
2017.11.02,125.12,124.13,125.28,123.99,236.76K,0.76
2017.11.03,125.12,125.24,125.5,124.97,155.41K,0
2017.11.06,125.19,125.25,125.42,125.09,119.32K,0.06
2017.11.07,125.38,125.07,125.51,124.95,189.83K,0.15
2017.11.08,125.66,125.46,125.87,125.41,152.39K,0.22
2017.11.09,125.13,125.54,125.63,125.04,158.63K,-0.42
2017.11.10,124.31,124.91,124.92,124.28,136.42K,-0.66
2017.11.13,124.43,124.4,124.75,124.36,107.43K,0.1
2017.11.14,124.6,124.38,124.71,124.25,128.48K,0.14
2017.11.15,124.87,124.79,125.19,124.74,165.05K,0.22
2017.11.16,124.72,124.91,124.95,124.61,135.42K,-0.12
2017.11.17,124.72,124.75,124.83,124.45,100.34K,0
2017.11.20,124.96,124.85,124.98,124.53,106.60K,0.19
2017.11.21,125.07,124.91,125.32,124.84,157.69K,0.09
2017.11.22,125,125.2,125.26,124.75,200.33K,-0.06
2017.11.23,125.31,125.17,125.4,125.01,88.97K,0.25
2017.11.24,125.32,125.26,125.35,125.09,207.61K,0.01
2017.11.27,125.21,125.35,125.47,125.1,227.70K,-0.09
2017.11.28,125.3,125.26,125.5,124.84,215.41K,0.07
2017.11.29,124.3,124.67,124.81,124.21,34.45K,-0.8
2017.11.30,124.51,124.25,124.55,124.03,13.94K,0.17
2017.12.01,125.55,124.5,125.74,124.5,7.46K,0.84
2017.12.04,125.01,125.02,125.3,124.84,4.37K,-0.43
2017.12.05,125.22,124.94,125.36,124.93,2.38K,0.17
2017.12.06,125.58,125.54,125.81,125.39,1.50K,0.29
2017.12.07,125.37,125.5,125.67,125.15,4.06K,-0.17
2017.12.08,125.07,124.8,125.11,124.56,0.30K,-0.24
2017.12.11,125.9,125.2,125.98,125.2,0.46K,0.66
2017.12.12,125.67,125.85,125.85,125.61,4.54K,-0.18
2017.12.13,125.79,125.82,125.82,125.46,14.75K,0.1
2017.12.14,126.21,125.7,126.25,125.7,1.50K,0.33
2017.12.15,126.39,126.52,126.52,126.33,7.38K,0.14
2017.12.18,126.5,126.41,126.41,126.41,4.05K,0.09
2017.12.19,125.88,125.89,125.89,125.89,3.27K,-0.49
2017.12.20,125.28,125.9,125.9,125.43,3.35K,-0.48
2017.12.21,125.28,125.1,125.1,125.1,3.94K,0
2017.12.22,125.51,125.39,125.4,125.39,0.06K,0.18
2017.12.27,125.75,125.76,125.77,125.76,4.21K,0.19
2017.12.28,125.07,125.23,125.32,124.97,76.65K,-0.54
2017.12.29,125.16,125.06,125.35,124.92,57.65K,0.07
2018.01.02,124.22,125.17,125.17,124.05,151.01K,-0.75
2018.01.03,124.88,124.09,124.96,124.06,151.62K,0.53
2018.01.04,124.65,124.64,124.82,124.5,123.41K,-0.18
2018.01.05,124.65,124.8,124.9,124.53,125.60K,0
2018.01.08,124.8,124.5,124.95,124.41,116.06K,0.12
2018.01.09,124.28,124.55,124.73,124.18,149.04K,-0.42
2018.01.10,124.12,124.07,124.3,123.95,163.26K,-0.13
2018.01.11,123.85,124.35,124.5,123.8,201.72K,-0.22
2018.01.12,123.6,123.81,123.94,123.26,182.29K,-0.2
2018.01.15,123.75,123.74,123.97,123.66,76.08K,0.12
2018.01.16,123.93,123.86,124.2,123.81,138.53K,0.15
2018.01.17,123.99,124.01,124.14,123.87,116.67K,0.05
2018.01.18,123.62,123.75,123.81,123.53,145.10K,-0.3
2018.01.19,123.6,123.48,123.82,123.41,151.05K,-0.02
2018.01.22,123.44,123.61,123.67,123.29,135.23K,-0.13
2018.01.23,123.43,123.52,123.79,123.4,172.92K,-0.01
2018.01.24,122.86,123.39,123.43,122.69,215.45K,-0.46
2018.01.25,122.85,122.95,123.11,122.61,191.19K,-0.01
2018.01.26,122.63,122.92,123.12,122.53,162.40K,-0.18
2018.01.29,122.41,122.28,122.56,122.28,166.83K,-0.18
2018.01.30,122.38,122.33,122.65,122.32,168.13K,-0.02
2018.01.31,122.14,122.45,122.55,121.87,235.18K,-0.2
2018.02.01,121.8,121.78,121.87,121.5,233.64K,-0.28
2018.02.02,121.34,121.54,121.56,120.92,230.00K,-0.38
2018.02.05,121.4,121.34,121.64,121.19,187.23K,0.05
2018.02.06,121.93,121.92,122.24,121.61,357.34K,0.44
2018.02.07,121.67,121.78,121.97,121.47,167.50K,-0.21
2018.02.08,120.79,121.62,121.69,120.48,289.51K,-0.72
2018.02.09,121.12,120.88,121.63,120.77,220.55K,0.27
2018.02.12,121.14,121,121.26,120.76,144.25K,0.02
2018.02.13,120.94,121.14,121.33,120.81,137.40K,-0.17
2018.02.14,120.82,121.14,121.27,120.58,172.23K,-0.1
2018.02.15,120.59,120.41,120.74,120.13,220.77K,-0.19
2018.02.16,121.28,120.59,121.44,120.57,150.08K,0.57
2018.02.19,121.13,121.05,121.22,121.02,86.27K,-0.12
2018.02.20,121.41,120.86,121.46,120.81,170.17K,0.23
2018.02.21,121.61,121.45,121.82,121.4,245.99K,0.16
2018.02.22,121.7,121.46,121.8,121.29,353.99K,0.07
2018.02.23,121.95,121.74,122.05,121.72,344.92K,0.21
2018.02.26,122.1,121.84,122.13,121.71,249.25K,0.12
2018.02.27,121.62,122,122.22,121.48,35.11K,-0.39
2018.02.28,122.07,121.59,122.19,121.58,16.05K,0.37
2018.03.01,122.51,122.21,122.74,122.18,12.54K,0.36
2018.03.02,122.59,122.72,123.01,122.44,3.20K,0.07
2018.03.05,122.3,122.8,122.91,122.04,2.99K,-0.24
2018.03.06,122.04,122.13,122.18,121.55,3.45K,-0.21
2018.03.07,122.25,122.05,122.35,122.04,1.12K,0.17
2018.03.08,122.47,122.24,122.45,122.09,2.33K,0.18
2018.03.09,122.23,122.28,122.42,122.24,1.71K,-0.2
2018.03.12,122.22,122.26,122.34,122.16,0.18K,-0.01
2018.03.13,122.37,122.23,122.61,122.23,2.96K,0.12
2018.03.14,122.95,122.4,122.91,122.4,0.18K,0.47
2018.03.15,122.89,122.78,122.94,122.78,1.22K,-0.05
2018.03.16,122.91,123,123.05,122.94,0.04K,0.02
2018.03.19,122.81,122.81,122.85,122.81,0.10K,-0.08
2018.03.20,122.4,122.55,122.75,122.42,1.40K,-0.33
2018.03.21,121.92,121.88,121.91,121.81,3.12K,-0.39
2018.03.22,123.12,122.47,123.17,122.32,1.23K,0.98
2018.03.23,122.84,123.15,123.15,122.78,0.97K,-0.23
2018.03.26,122.84,122.62,122.67,122.62,0.84K,0
2018.03.27,122.84,122.85,122.85,122.83,0.92K,0
2018.03.28,122.65,122.24,122.72,122.24,233.39K,-0.15
2018.03.29,122.82,122.48,122.93,122.48,200.90K,0.14
