Date,Price,Open,High,Low,Vol.,Change %
2015.05.15,117.58,117.26,118.02,116.93,143.24K,0.75
2015.05.18,117.12,117.98,118,116.99,123.86K,-0.39
2015.05.19,117.03,117.3,117.97,116.63,191.53K,-0.08
2015.05.20,116.9,117.15,117.37,116.65,122.19K,-0.11
2015.05.21,116.97,117.07,117.22,116.62,170.14K,0.06
2015.05.22,117.45,117.2,117.68,117.06,221.47K,0.41
2015.05.26,117.94,117.6,118.15,117.49,297.11K,0.42
2015.05.27,117.84,117.86,118.12,117.65,283.45K,-0.08
2015.05.28,118.33,118.13,118.55,117.93,61.49K,0.42
2015.05.29,118.67,118.58,118.76,118.43,8.28K,0.29
2015.06.01,118.24,118.52,118.61,118.07,5.16K,-0.36
2015.06.02,117.3,118.17,118.17,116.95,21.88K,-0.79
2015.06.03,116.15,117.11,117.18,115.98,10.50K,-0.98
2015.06.04,116.71,115.78,116.61,115.19,4.66K,0.48
2015.06.05,116.11,116.51,116.51,115.8,3.23K,-0.51
2015.06.08,116.43,116.39,116.39,116.25,0.59K,0.28
2015.06.09,115.87,116.59,116.59,116.59,0.07K,-0.48
2015.06.10,115.47,115.63,115.63,115.52,0.17K,-0.35
2015.06.11,116.19,115.54,116.46,115.54,0.33K,0.62
2015.06.12,117.17,116.19,117.04,116.32,1.29K,0.84
2015.06.15,116.63,116.91,117.16,116.9,1.15K,-0.46
2015.06.16,116.86,116.7,116.71,116.65,0.86K,0.2
2015.06.17,115.38,116.17,116.33,115.33,0,-1.27
2015.06.18,116.53,116.78,116.78,116.4,0.82K,1
2015.06.19,116.85,116.9,116.9,116.84,1.68K,0.27
2015.06.22,115.07,115.39,115.82,115,0,-1.52
2015.06.23,115.83,115.83,115.99,115.83,13.38K,0.66
2015.06.24,115.62,115.56,115.59,115.54,1.71K,-0.18
2015.06.25,114.68,114.89,115.19,114.54,0,-0.82
2015.06.26,115.75,115.73,115.73,115.73,0.68K,0.94
2015.06.29,115.37,115.61,115.86,114.84,145.32K,-0.33
2015.06.30,115.73,115.82,116,115.37,183.82K,0.31
2015.07.01,115.13,115.68,115.75,114.67,144.13K,-0.52
2015.07.02,115.27,114.76,115.47,114.41,174.59K,0.12
2015.07.03,116.04,115.43,116.18,115.33,71.42K,0.67
2015.07.06,115.91,116.46,116.59,115.82,119.80K,-0.11
2015.07.07,117.8,116.07,117.85,116,239.55K,1.63
2015.07.08,117.01,117.88,118.15,116.82,177.59K,-0.67
2015.07.09,116.48,117.02,117.16,116.32,128.91K,-0.45
2015.07.10,115.39,115.93,115.96,115.2,172.24K,-0.94
2015.07.13,115.05,114.87,115.19,114.56,138.15K,-0.29
2015.07.14,114.92,115.25,115.37,114.56,131.24K,-0.11
2015.07.15,114.87,114.67,115.23,114.67,144.14K,-0.04
2015.07.16,115.41,115.08,115.48,114.68,130.45K,0.47
2015.07.17,115.38,115.46,115.67,115.18,94.28K,-0.03
2015.07.20,115.46,115.33,115.88,115.17,106.01K,0.07
2015.07.21,115.36,115.59,115.7,115.04,168.06K,-0.09
2015.07.22,115.86,115.51,115.99,115.37,129.67K,0.43
2015.07.23,115.96,115.86,116.24,115.77,111.83K,0.09
2015.07.24,116.74,116.35,116.84,116.33,162.92K,0.67
2015.07.27,116.88,116.79,117.11,116.74,105.17K,0.12
2015.07.28,116.7,116.62,116.79,116.25,118.92K,-0.15
2015.07.29,116.44,116.56,116.86,116.33,107.82K,-0.22
2015.07.30,116.44,116.29,116.63,116.11,117.34K,0
2015.07.31,117.3,116.48,117.37,116.3,160.89K,0.74
2015.08.03,117.33,117.14,117.57,116.9,100.10K,0.03
2015.08.04,117.41,117.49,117.75,117.26,139.75K,0.07
2015.08.05,116.54,116.99,117.14,116.24,167.36K,-0.74
2015.08.06,116.95,116.71,117.04,116.34,132.37K,0.35
2015.08.07,117.59,116.89,117.79,116.72,127.92K,0.55
2015.08.10,116.98,117.55,117.71,116.91,96.00K,-0.52
2015.08.11,117.94,117.31,118.05,117.2,144.67K,0.82
2015.08.12,118.32,118.47,118.73,117.86,165.68K,0.32
2015.08.13,117.81,117.95,117.95,117.38,127.71K,-0.43
2015.08.14,117.48,117.67,117.85,117.17,100.16K,-0.28
2015.08.17,117.94,117.52,118.06,117.44,86.28K,0.39
2015.08.18,117.5,118.11,118.24,117.35,122.25K,-0.37
2015.08.19,117.69,117.46,117.93,117.24,114.23K,0.16
2015.08.20,118.58,118.25,118.72,118.14,199.20K,0.76
2015.08.21,119.15,118.83,119.43,118.68,146.64K,0.48
2015.08.24,119.45,119.71,120.21,119.08,322.56K,0.25
2015.08.25,118.48,119.16,119.38,118.29,341.74K,-0.81
2015.08.26,118.09,118.56,118.98,117.87,249.65K,-0.33
2015.08.27,117.84,117.62,118.09,117.53,38.95K,-0.21
2015.08.28,118.06,118.14,118.61,117.82,10.38K,0.19
2015.09.01,118.23,118,118.47,117.72,12.76K,0.14
2015.09.02,118.17,118.26,118.65,118.01,3.79K,-0.05
2015.09.03,118.43,118.19,118.58,118.19,9.68K,0.22
2015.09.04,119.18,118.77,119.36,118.76,2.71K,0.63
2015.09.07,119.35,119.13,119.36,119.08,4.03K,0.14
2015.09.08,119.04,119.44,119.44,119,0.46K,-0.26
2015.09.09,118.79,118.82,118.93,118.68,0.77K,-0.21
2015.09.10,118.91,119.18,119.18,118.78,0.97K,0.1
2015.09.11,119.31,118.82,119.05,118.82,0.05K,0.34
2015.09.14,119.05,119.12,119.19,119.05,0.50K,-0.22
2015.09.15,118.49,118.91,118.99,118.7,0.16K,-0.47
2015.09.16,118.17,118.23,118.23,118.18,0.00K,-0.27
2015.09.17,118.09,118.09,118.09,118.04,16.80K,-0.07
2015.09.18,119.16,119.21,119.27,119.21,2.37K,0.91
2015.09.21,118.75,119.12,119.12,118.93,0.65K,-0.34
2015.09.22,119.81,119.21,119.21,119.21,0.12K,0.89
2015.09.23,119.55,119.7,119.75,119.53,0.63K,-0.22
2015.09.24,120.22,119.72,120.2,119.72,0.04K,0.56
2015.09.25,119.21,119.54,119.54,119.22,0.31K,-0.84
2015.09.28,119.72,119.6,119.63,119.59,0.18K,0.43
2015.09.29,119.18,119.2,119.37,118.83,179.47K,-0.45
2015.09.30,119.06,119.07,119.23,118.71,184.55K,-0.1
2015.10.01,119.24,119,119.44,118.89,155.96K,0.15
2015.10.02,119.73,119.11,120.27,118.85,186.99K,0.41
